,acc,trait,fold,network,dataset,lr,batch_size,epochs,model_input,embed,layer,mode,embed_mode,jobid
9,55.691057443618774,EXT,10,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
10,55.46558499336243,NEU,1,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
11,56.68016076087952,NEU,2,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
12,55.06072640419006,NEU,3,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
13,60.72874665260315,NEU,4,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
14,61.13360524177551,NEU,5,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
15,58.29959511756897,NEU,6,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
16,59.109312295913696,NEU,7,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
17,56.91056847572327,NEU,8,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
18,54.878050088882446,NEU,9,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
19,57.723575830459595,NEU,10,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
20,55.87044358253479,AGR,1,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
21,61.13360524177551,AGR,2,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
22,59.91902947425842,AGR,3,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
23,55.87044358253479,AGR,4,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
24,60.72874665260315,AGR,5,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
25,58.29959511756897,AGR,6,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
26,57.48987793922424,AGR,7,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
27,56.5040647983551,AGR,8,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
